story_id,title,author,kudos,hits,bookmarks,rating,warnings,category,relationships,characters,additional_tags
34298500,You Don't Know How Long You Have Tonight And I'm Scared Cause I Loved You,nan,678,10085,62,Explicit,Creator Chose Not To Use Archive Warnings,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun', 'Kang Saebyeok', 'JiYeong'","'Omega Seong Gihun', 'Alpha Cho Sangwoo', 'Alpha/Beta/Omega Dynamics', 'Anal Sex', 'Possessive Behavior', 'Not Actually Unrequited Love', 'Possessive Sex', 'Knotting', 'Bittersweet Ending', 'Angst and Fluff and Smut', 'Porn with Feelings', 'Love Confessions', 'Mutual Pining'"
34130629,out of time,moominii,668,7013,47,Not Rated,No Archive Warnings Apply,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun'","'Mutual Pining', 'Not Actually Unrequited Love', 'Love Confessions', 'Friends to Lovers', 'Friendship/Love', 'Idiots in Love', 'Fluff and Angst', 'I love them so much', 'Mostly just personal headcanons I have for them', 'Spoilers', 'Sexual Tension', 'Alternate Universe  Canon Divergence', 'Not Beta Read', 'Drabble'"
34265242,Sweet smiles,orphan_account,632,7903,27,Explicit,Creator Chose Not To Use Archive Warnings,M/M,'Ali Abdul/Cho Sangwoo',"'Ali Abdul', 'Cho Sangwoo'","'WHY ARE THERE SO LITTLE OF THESE GUYS THEY ARE OS CUTEEEE', 'First Time Blow Jobs', 'Smut', 'Bathroom Sex', 'But not really there’s no actual sex', 'Implied/Referenced Cheating', 'sorry Ali’s wife you are very sexy come marry me instead 😄😄'"
34444378,i want a hundred of your time youre mine,orphan_account,616,8161,35,Explicit,Rape/NonConUnderage,M/M,'Cho Sangwoo/Seong Gihun',"'Seong Gihun', 'Cho Sangwoo', 'Original Characters'","'Jealousy', 'Possessive Behavior', 'Manipulation', 'Tension', 'Rape/Noncon Elements', 'Masturbation', 'Extremely Underage', 'Somnophilia', 'Mutilation', 'Obsession', 'Angst', 'Gaslighting', 'Underage Drinking', 'Emotional/Psychological Abuse', 'Dead Dove: Do Not Eat', 'Childhood Friends'"
34316797,cotton,insanepilots,564,4064,37,Not Rated,Creator Chose Not To Use Archive Warnings,M/M,'Cho Sangwoo/Seong Gihun',"'Seong Gihun', 'Cho Sangwoo', ""Cho Sangwoo's Mother""","'Childhood Friends', 'Growing Up Together', 'Fluff', 'Cute Ending', 'Internalized Homophobia', 'Hurt/Comfort', 'not beta read we die like ali', 'Oneshot', 'Alternate Universe  Teenagers', 'Teen Romance', 'Love Confessions', 'First Kiss', 'this show got me fucked up', 'it’s become a hyperfixation i’m sorry', 'I Will Go Down With This Ship'"
34089418,Wrong timing,ProSkater17,610,10368,34,Not Rated,Creator Chose Not To Use Archive WarningsGraphic Depictions Of Violence,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun', 'Kang Sae Byeok'","'Seong GiHun  Freeform', 'Cho SangWoo  Freeform', 'Sexual Content', 'Porn with Feelings', 'Porn With Plot', 'Angry Sex', 'Angry Kissing', 'Topping', 'Bottoming', 'Anal Fingering', 'Anal Sex', 'Angst', 'Fanfiction', 'PreCanon', 'Squid game  Freeform'"
34339738,in my arms tonight,anomochil,549,5116,34,General Audiences,No Archive Warnings Apply,M/M,"'Ali Abdul/Cho Sangwoo', 'Ali Abdul & Cho Sangwoo', 'Ali Abdul & Seong Gihun', 'Cho Sangwoo & Seong Gihun', 'Cho Sangwoo & Kang Saebyeok', 'Ali Abdul & Kang Saebyeok'","'Ali Abdul', 'Cho Sangwoo', 'Kang Saebyeok', 'Seong Gihun'","'FixIt', 'During Canon', 'PostCanon', 'Alternate Universe  Canon Divergence', 'Nobody is Dead', 'Affection', 'Couch Cuddles', 'Sleepy Cuddles', 'Pining', 'Oblivious', 'Idiots in Love', 'Fluff', 'Light Angst', 'Mild Hurt/Comfort', 'Comfort No Hurt', 'Hugs', 'First Kiss', 'Forehead Kisses', 'Getting Together', 'Friends to Lovers', 'Wordcount: 1.0005.000', 'Not Beta Read', 'Author Is Sleep Deprived', 'Love', 'ToothRotting Fluff'"
34269919,why must it be so hard,anomochil,534,4476,15,General Audiences,No Archive Warnings Apply,M/M,"'Ali Abdul/Cho Sangwoo', 'Cho Sangwoo & Seong Gihun', 'Ali Abdul & Cho Sangwoo'","'Ali Abdul', 'Cho Sangwoo'","'Alternate Universe  Canon Divergence', 'Canon Compliant', 'Hurt/Comfort', 'Emotional Hurt/Comfort', 'Fluff', 'Gay', 'Crying', 'ToothRotting Fluff', 'Acceptance', 'Strangers to Lovers', 'Light Angst', 'Comfort', 'Hugs', 'Forehead Kisses', 'First Kiss', 'this is very fluffy', 'Ali Is Sad', 'Sangwoo Wants Him To Be Happy', 'I Will Go Down With This Ship', 'Wordcount: 1.0005.000', 'Not Beta Read'"
34199386,Stressed.,taiglow,498,8735,29,Explicit,Creator Chose Not To Use Archive Warnings,F/M,'Cho Sangwoo/Reader',"'Cho Sangwoo', 'Reader'","'SelfIndulgent', 'Vaginal Sex', 'thigh riding', 'SemiPublic Sex', 'porn with little to no plot'"
34432015,First Class,Duni,471,4621,39,Not Rated,Creator Chose Not To Use Archive Warnings,M/M,"'Cho Sangwoo/Seong Gihun', 'Cho Sangwoo & Seong Gihun'","'Cho Sangwoo', 'Seong Gihun'","'Alternate Universe  No One is in Debt Squid Game', 'Gihun is still broke tho', 'He misses the flight', 'Sangwoo is there to save the day', 'Smut', 'Eventual Smut', 'He pays his debt', 'Bottom seong gi hun', 'Bottom Seong Gihun', 'Top Cho Sangwoo', 'top cho sang woo'"
34426993,i try to do the best i can i know you try to do the same,ChuganiiMogi,458,9682,36,Explicit,No Archive Warnings Apply,F/F,"'Jiyeong/Kang Saebyeok', 'Minor Cho Sangwoo/Seong Gihun'","'Jiyeong Squid Game', 'Kang Saebyeok', ""mentioned Kang Saebyeok's Mother"", 'mentioned Kang Cheol', 'mentioned Han Minyeo', 'Ali Abdul', 'Cho Sangwoo', 'Seong Gihun'","'Established Relationship', 'Rough Sex', 'StrapOns', 'Minor Jealousy', 'Domesticity', 'Alternate Universe  Canon Divergence', 'Alternate Universe  Everyone Lives/Nobody Dies', 'Squid Game was exposed', 'Clubbing', 'Explicit Sexual Content', 'Sexual Tension', 'Bratty Jiyeong', 'Service Top Kang Saebyeok', 'AgedUp Characters', 'Safe Sane and Consensual', 'Overstimulation', 'Fluff and Smut', 'Desperation', 'Drinking', 'I Will Go Down With This Ship', 'I Wrote This Instead of Sleeping', 'Jiyeongcentric'"
34065412,If you ever want to be there,SquashGame Pls_mdr_mee,437,3698,29,General Audiences,Graphic Depictions Of Violence,GenM/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun', 'Kang Saebyeok', 'Oh Ilnam'","'can be read as platonic', 'Alternate Universe  Canon Divergence'"
34287916,Anything for you,Anxi0us_Trash,435,7134,18,Mature,Creator Chose Not To Use Archive Warnings,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun'","'Alpha/Beta/Omega Dynamics', 'Omega Seong Gihun', 'Alpha Cho Sangwoo', 'Mating Cycles/In Heat'"
34410592,Lost Marble,juniperscreams,405,5440,30,Explicit,Creator Chose Not To Use Archive Warnings,M/M,'Cho Sangwoo/Seong Gihun',"'Han Minyeo', 'Oh Ilnam', 'Cho Sangwoo', 'Seong Gihun'","'Anal Fingering', 'Manipulation'"
34379929,Cooking Lessons.,http_sangwoo,400,3799,21,General Audiences,No Archive Warnings Apply,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun', 'Hwang Junho'","'Living Together', 'Fluff and Hurt/Comfort', 'Insecurity', 'Cooking Lessons', 'Tenderness', 'Flufftober'"
34351207,say you'll see me again even if it's just pretend,strawhobii,380,3007,25,Not Rated,Creator Chose Not To Use Archive Warnings,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun', 'Original Characters'","'Angst', 'Unrequited Love', 'Childhood Friends', 'Weddings', 'this show fucked me up', 'i must write this ship or i will d word', 'I Will Go Down With This Ship', 'not beta read we die like ali', 'Angst and Feels', ""aka sangwoo sobs like a bitch after getting gihun's wedding invite"", 'Oneshot', 'sangihun will get their happy ending', 'just not in this fic', 'ahahaha dont cry ur so sexy sangwoo'"
34280716,time is still ours to spend,hitonatsunotapestry,355,2986,13,Teen And Up Audiences,No Archive Warnings Apply,F/FM/M,"'Cho Sangwoo/Seong Gihun', 'Jiyeong/Kang Saebyeok'","'Cho Sangwoo', 'Seong Gihun', 'JiYeong', 'Kang Saebyeok', 'Ali Abdul'","'Alternate Universe  Canon Divergence', 'Everybody Lives', 'Mentioned Jiyeong/Kang Saebyeok', ""soft cuz I'm still not over Ali"""
34080937,Keep Me Warm Tonight,yeriomina,350,4449,7,Teen And Up Audiences,No Archive Warnings Apply,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun'","'Wow!', 'They are drunk', 'from soju', 'and this may be a bit aggresive lol', 'anyway watch me bend reality for these two', 'aggresive kissing', '!!!', 'Suicide mention', 'Screaming', 'screaming at each other', 'why did i find this so necessary to tag', 'anyway enjoy i guess'"
34121575,weight of you on my tongue,redmaynes,340,4715,20,Explicit,No Archive Warnings Apply,M/M,'Cho Sangwoo/Hwang Junho',"'Cho Sangwoo', 'Hwang Junho'","'this is a rareship for the ages bc holy mfing shit they r both so attractive', 'Alternate Universe  no debt', 'Strippers & Strip Clubs', 'Frottage', 'Internalized Homophobia', 'Age Difference', 'Light Dom/sub'"
34294075,Sparklers.,http_sangwoo,335,2723,17,General Audiences,No Archive Warnings Apply,M/M,'Cho Sangwoo/Seong Gihun',"'Cho Sangwoo', 'Seong Gihun'","'My First Work in This Fandom', 'Christmas Fluff', 'Married Life', 'Mild Hurt/Comfort', 'I Will Go Down With This Ship', 'Flufftober'"
